speaker	original	traduit
1	Hey.	Bonjour.
2	Hey, hey.	Coucou.
2	So on Friday, my brother calls me and I don't know he's not doing well.	Donc vendredi, mon frère m'appelle et je ne sais pas s'il ne va pas bien.
2	He quit his job.	Il a quitté son travail.
2	I don't know he was dating this woman who says horrible and	Je ne sais pas qu'il sortait avec cette femme qui dit horrible et
1	It sounds horrible.	Ça a l'air horrible.
2	yeah, I don't know.	Oui, je ne sais pas.
2	I don't know so he's not doing well, but I don't know I talk to you on Friday and he said he just felt crappy all week.	Je ne sais pas si il ne va pas bien, mais je ne sais pas si je te parle vendredi et il a dit qu'il se sentait merdique toute la semaine.
2	But he's a little better.	Mais il est un peu mieux.
2	And so and then I guess Saturday, I don't know the same stuff.	Et puis je suppose que samedi, je ne connais pas les mêmes choses.
2	I don't know.	Je ne sais pas.
2	I don't know.	Je ne sais pas.
2	I don't know like you just want to company.	Je ne sais pas si tu veux juste t'accompagner.
2	He been all on all week.	Il a passé toute la semaine.
2	I don't know.	Je ne sais pas.
2	So yeah, I talked to him Saturday.	Alors oui, je lui ai parlé samedi.
2	I don't know I guess on top of everything.	Je ne sais pas ce que je pense de tout.
2	I don't know this woman.	Je ne connais pas cette femme.
2	He was dating.	Il sortait ensemble.
2	I don't know it was even a tab on the relationship.	Je ne sais même pas si c'était un onglet sur la relation.
2	Pressuring him to pay her.	Il l'oblige à la payer.
2	I don't know a couple thousand dollars or something.	Je ne connais pas quelques milliers de dollars.
2	My brother just turned 27.	Mon frère vient d'avoir 27 ans.
2	This one is 41 years old.	Celui-ci a 41 ans.
2	I don't know.	Je ne sais pas.
2	I don't know if she knows about our situation.	Je ne sais pas si elle est au courant de notre situation.
2	He doesn't have any money.	Il n'a pas d'argent.
2	I don't know he has problems with it.	Je ne sais pas s'il a des problèmes avec ça.
2	But depression.	Mais la dépression.
2	I don't know just quit his job and he's not feeling too hot right now.	Je ne sais pas s'il a quitté son travail et il ne se sent pas trop chaud en ce moment.
2	I don't know.	Je ne sais pas.
2	I guess he didn't tell me the whole story, but I'm sure something happened where she and banded him and	Je suppose qu'il ne m'a pas raconté toute l'histoire, mais je suis sûr qu'il s'est passé quelque chose où elle l'a bagué et
2	She sent him an email.	Elle lui a envoyé un mail.
2	Basically very rude you owe me this amount or you can sign over the least your car.	Fondamentalement très grossier vous me devez ce montant ou vous pouvez signer sur le moins de votre voiture.
2	I'm like what the fuc.	Je suis comme ça.
2	I think this is just not that I don't think it's so much.	Je pense que ce n'est pas que je ne pense pas que ce soit tellement.
2	The money is issue is just	L'argent est un problème, c'est juste
1	asking	demandant
2	We getting how he allowed himself to get into this situation.	Nous obtenons comment il s'est permis d'entrer dans cette situation.
2	I don't know kicking him while he's down.	Je ne sais pas le frapper pendant qu'il est à terre.
2	I guess I don't know.	Je suppose que je ne sais pas.
2	Yeah, I don't know so he told me he was going out with some of her friends Saturday night.	Je ne sais pas, il m'a dit qu'il sortait avec ses amis samedi soir.
2	I don't know now.	Je ne sais pas maintenant.
2	He had called me several times but I didn't get it because I was sleeping.	Il m'avait appelé plusieurs fois mais je ne l'ai pas compris parce que je dormais.
2	I don't know so it just made me extremely worried about him.	Je ne sais pas, ça m'a fait m'inquiéter pour lui.
2	I pay for his phone bill so I can go online and see me talk to so I had called a few numbers.	Je paie sa facture de téléphone pour pouvoir aller en ligne et me voir parler, alors j'ai appelé quelques numéros.
2	I had no idea who I was contacting.	Je n'avais aucune idée de qui je contactais.
2	I was just numbers I say, this is Stephen sister.	J'étais juste des chiffres que je dis, c'est Stephen soeur.
2	I'm worried about him.	Je m'inquiète pour lui.
2	Would you check up on him a few people I had met I went out there.	Voudriez-vous le voir quelques personnes que j'avais rencontrées ?
2	It was it was a completely random.	C'était un hasard.
